,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Atemp Category,Windspeed Category,Hum Category,temperature_cat
9749,9750,2012-02-16,Springer,2012,February,4,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",6.1,5.001199999999997,70.0,6.0032,0,3,3,Medium,Low,Very High,Rendah
9750,9751,2012-02-16,Springer,2012,February,5,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,5.997799999999998,70.0,0.0,0,20,20,Medium,Low,Very High,Rendah
9751,9752,2012-02-16,Springer,2012,February,6,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,5.001199999999997,70.0,6.0032,4,83,87,Medium,Low,Very High,Rendah
9752,9753,2012-02-16,Springer,2012,February,7,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.998000000000001,70.0,8.9981,3,285,288,Medium,Low,Very High,Rendah
9753,9754,2012-02-16,Springer,2012,February,8,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,5.001199999999997,70.0,6.0032,9,489,498,Medium,Low,Very High,Rendah
9754,9755,2012-02-16,Springer,2012,February,9,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.998000000000001,70.0,11.0014,3,199,202,Medium,Low,Very High,Rendah
9755,9756,2012-02-16,Springer,2012,February,10,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.040000000000001,5.997799999999998,70.0,8.9981,2,42,44,Medium,Low,Very High,Rendah
9756,9757,2012-02-16,Springer,2012,February,11,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.040000000000001,5.997799999999998,70.0,7.0015,2,69,71,Medium,Low,Very High,Rendah
9757,9758,2012-02-16,Springer,2012,February,12,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.040000000000001,5.997799999999998,76.0,6.0032,1,44,45,Medium,Low,Very High,Rendah
9758,9759,2012-02-16,Springer,2012,February,13,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.98,5.001199999999997,71.0,16.997899999999998,2,62,64,Medium,Medium,Very High,Rendah
9759,9760,2012-02-16,Springer,2012,February,14,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.040000000000001,5.001199999999997,81.0,12.998000000000001,1,30,31,Medium,Low,Extremely High,Rendah
9760,9761,2012-02-16,Springer,2012,February,15,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.98,7.9975999999999985,76.0,0.0,3,50,53,Medium,Low,Very High,Rendah
9761,9762,2012-02-16,Springer,2012,February,16,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.98,7.9975999999999985,81.0,0.0,8,110,118,Medium,Low,Extremely High,Rendah
9762,9763,2012-02-16,Springer,2012,February,17,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.98,7.9975999999999985,87.0,0.0,8,281,289,Medium,Low,Extremely High,Rendah
9763,9764,2012-02-16,Springer,2012,February,18,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.98,5.997799999999998,87.0,8.9981,8,345,353,Medium,Low,Extremely High,Rendah
9764,9765,2012-02-16,Springer,2012,February,19,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,5.001199999999997,87.0,11.0014,4,254,258,Medium,Low,Extremely High,Rendah
9765,9766,2012-02-16,Springer,2012,February,20,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,5.997799999999998,87.0,8.9981,5,211,216,Medium,Low,Extremely High,Rendah
9766,9767,2012-02-16,Springer,2012,February,21,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.98,7.000999999999998,81.0,7.0015,3,142,145,Medium,Low,Extremely High,Rendah
9767,9768,2012-02-16,Springer,2012,February,22,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,7.000999999999998,81.0,0.0,3,108,111,Medium,Low,Extremely High,Rendah
9768,9769,2012-02-16,Springer,2012,February,23,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,5.997799999999998,81.0,6.0032,3,70,73,Medium,Low,Extremely High,Rendah
9769,9770,2012-02-17,Springer,2012,February,0,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,5.997799999999998,87.0,0.0,2,32,34,Medium,Low,Extremely High,Rendah
9770,9771,2012-02-17,Springer,2012,February,1,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,5.997799999999998,93.0,0.0,2,16,18,Medium,Low,Extremely High,Rendah
9771,9772,2012-02-17,Springer,2012,February,2,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,5.001199999999997,93.0,7.0015,1,11,12,Medium,Low,Extremely High,Rendah
9772,9773,2012-02-17,Springer,2012,February,3,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.160000000000002,3.0014000000000003,93.0,7.0015,0,1,1,Medium,Low,Extremely High,Rendah
9773,9774,2012-02-17,Springer,2012,February,4,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.160000000000002,1.9982000000000006,93.0,12.998000000000001,0,1,1,Medium,Low,Extremely High,Rendah
9774,9775,2012-02-17,Springer,2012,February,5,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.160000000000002,1.9982000000000006,93.0,11.0014,0,16,16,Medium,Low,Extremely High,Rendah
9775,9776,2012-02-17,Springer,2012,February,6,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.160000000000002,3.0014000000000003,96.0,8.9981,1,70,71,Medium,Low,Extremely High,Rendah
9776,9777,2012-02-17,Springer,2012,February,7,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.160000000000002,3.0014000000000003,93.0,7.0015,4,222,226,Medium,Low,Extremely High,Rendah
9777,9778,2012-02-17,Springer,2012,February,8,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",4.220000000000001,3.998000000000001,100.0,0.0,4,516,520,Medium,Low,Extremely High,Rendah
9778,9779,2012-02-17,Springer,2012,February,9,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",4.220000000000001,3.998000000000001,100.0,0.0,8,275,283,Medium,Low,Extremely High,Rendah
9779,9780,2012-02-17,Springer,2012,February,10,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.001199999999997,71.0,19.0012,13,103,116,Medium,Medium,Very High,Rendah
9780,9781,2012-02-17,Springer,2012,February,11,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,5.997799999999998,62.0,27.999299999999998,9,133,142,Medium,High,Very High,Rendah
9781,9782,2012-02-17,Springer,2012,February,12,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,46.0,26.0027,21,177,198,Medium,Medium,High,Rendah
9782,9783,2012-02-17,Springer,2012,February,13,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,43.0,23.9994,34,171,205,High,Medium,High,Sedang
9783,9784,2012-02-17,Springer,2012,February,14,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,37.0,23.9994,33,137,170,High,Medium,Medium,Sedang
9784,9785,2012-02-17,Springer,2012,February,15,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.739999999999998,11.997200000000003,35.0,27.999299999999998,41,180,221,High,High,Medium,Sedang
9785,9786,2012-02-17,Springer,2012,February,16,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.739999999999998,11.997200000000003,32.0,19.999499999999998,56,251,307,High,Medium,Medium,Sedang
9786,9787,2012-02-17,Springer,2012,February,17,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.739999999999998,11.997200000000003,32.0,22.0028,36,429,465,High,Medium,Medium,Sedang
9787,9788,2012-02-17,Springer,2012,February,18,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,35.0,16.997899999999998,15,362,377,High,Medium,Medium,Sedang
9788,9789,2012-02-17,Springer,2012,February,19,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,37.0,15.001299999999999,16,266,282,Medium,Medium,Medium,Rendah
9789,9790,2012-02-17,Springer,2012,February,20,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,35.0,12.998000000000001,13,158,171,High,Low,Medium,Sedang
9790,9791,2012-02-17,Springer,2012,February,21,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,37.0,12.998000000000001,15,114,129,Medium,Low,Medium,Rendah
9791,9792,2012-02-17,Springer,2012,February,22,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,7.000999999999998,40.0,15.001299999999999,15,92,107,Medium,Medium,Medium,Rendah
9792,9793,2012-02-17,Springer,2012,February,23,No,Friday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,7.000999999999998,40.0,12.998000000000001,10,72,82,Medium,Low,Medium,Rendah
9793,9794,2012-02-18,Springer,2012,February,0,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.997799999999998,42.0,11.0014,5,81,86,Medium,Low,High,Rendah
9794,9795,2012-02-18,Springer,2012,February,1,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,5.001199999999997,49.0,11.0014,7,38,45,Medium,Low,High,Rendah
9795,9796,2012-02-18,Springer,2012,February,2,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,3.0014000000000003,61.0,16.997899999999998,6,39,45,Medium,Medium,Very High,Rendah
9796,9797,2012-02-18,Springer,2012,February,3,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",5.160000000000002,3.0014000000000003,65.0,7.0015,3,15,18,Medium,Low,Very High,Rendah
9797,9798,2012-02-18,Springer,2012,February,4,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,3.998000000000001,70.0,0.0,3,4,7,Medium,Low,Very High,Rendah
9798,9799,2012-02-18,Springer,2012,February,5,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,1.0015999999999998,70.0,6.0032,0,1,1,Medium,Low,Very High,Rendah
9799,9800,2012-02-18,Springer,2012,February,6,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,3.0014000000000003,70.0,0.0,1,8,9,Medium,Low,Very High,Rendah
9800,9801,2012-02-18,Springer,2012,February,7,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,3.0014000000000003,70.0,0.0,8,33,41,Medium,Low,Very High,Rendah
9801,9802,2012-02-18,Springer,2012,February,8,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,1.9982000000000006,87.0,0.0,10,92,102,Medium,Low,Extremely High,Rendah
9802,9803,2012-02-18,Springer,2012,February,9,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-0.0015999999999998238,80.0,7.0015,22,116,138,Medium,Low,Very High,Rendah
9803,9804,2012-02-18,Springer,2012,February,10,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,1.9982000000000006,81.0,7.0015,48,157,205,Medium,Low,Extremely High,Rendah
9804,9805,2012-02-18,Springer,2012,February,11,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,5.997799999999998,56.99999999999999,8.9981,102,184,286,Medium,Low,High,Rendah
9805,9806,2012-02-18,Springer,2012,February,12,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,7.000999999999998,43.0,12.998000000000001,128,241,369,Medium,Low,High,Rendah
9806,9807,2012-02-18,Springer,2012,February,13,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,43.0,19.0012,165,219,384,High,Medium,High,Sedang
9807,9808,2012-02-18,Springer,2012,February,14,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.68,13.000399999999999,35.0,23.9994,183,244,427,High,Medium,Medium,Sedang
9808,9809,2012-02-18,Springer,2012,February,15,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.739999999999998,11.997200000000003,41.0,16.997899999999998,229,270,499,High,Medium,High,Sedang
9809,9810,2012-02-18,Springer,2012,February,16,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.68,13.000399999999999,44.0,22.0028,186,218,404,High,Medium,High,Sedang
9810,9811,2012-02-18,Springer,2012,February,17,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.559999999999999,15.0002,36.0,19.0012,142,222,364,High,Medium,Medium,Sedang
9811,9812,2012-02-18,Springer,2012,February,18,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.620000000000001,13.997,38.0,19.999499999999998,70,176,246,High,Medium,Medium,Sedang
9812,9813,2012-02-18,Springer,2012,February,19,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.68,13.000399999999999,44.0,11.0014,38,150,188,High,Low,High,Sedang
9813,9814,2012-02-18,Springer,2012,February,20,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.68,13.000399999999999,44.0,11.0014,25,123,148,High,Low,High,Sedang
9814,9815,2012-02-18,Springer,2012,February,21,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.68,13.000399999999999,33.0,19.999499999999998,25,89,114,High,Medium,Medium,Sedang
9815,9816,2012-02-18,Springer,2012,February,22,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,40.0,30.002599999999997,17,101,118,High,High,Medium,Sedang
9816,9817,2012-02-18,Springer,2012,February,23,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,5.997799999999998,40.0,26.0027,12,62,74,Medium,Medium,Medium,Rendah
9817,9818,2012-02-19,Springer,2012,February,0,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.98,3.998000000000001,39.0,23.9994,9,65,74,Medium,Medium,Medium,Rendah
9818,9819,2012-02-19,Springer,2012,February,1,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,3.998000000000001,39.0,16.997899999999998,10,62,72,Medium,Medium,Medium,Rendah
9819,9820,2012-02-19,Springer,2012,February,2,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.0014000000000003,36.0,19.0012,3,45,48,Medium,Medium,Medium,Rendah
9820,9821,2012-02-19,Springer,2012,February,3,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.0014000000000003,36.0,15.001299999999999,3,12,15,Medium,Medium,Medium,Rendah
9821,9822,2012-02-19,Springer,2012,February,4,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.160000000000002,1.0015999999999998,41.0,26.0027,0,3,3,Medium,Medium,High,Rendah
9822,9823,2012-02-19,Springer,2012,February,5,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",4.220000000000001,-0.9982000000000006,48.0,19.999499999999998,1,1,2,Medium,Medium,High,Rendah
9823,9824,2012-02-19,Springer,2012,February,6,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-2.0013999999999985,52.0,22.0028,0,5,5,Medium,Medium,High,Rendah
9824,9825,2012-02-19,Springer,2012,February,7,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3.2799999999999994,-2.0013999999999985,52.0,19.0012,2,12,14,Medium,Medium,High,Rendah
9825,9826,2012-02-19,Springer,2012,February,8,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3.2799999999999994,-0.9982000000000006,56.00000000000001,12.998000000000001,8,48,56,Medium,Low,High,Rendah
9826,9827,2012-02-19,Springer,2012,February,9,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3.2799999999999994,-0.9982000000000006,56.00000000000001,16.997899999999998,20,73,93,Medium,Medium,High,Rendah
9827,9828,2012-02-19,Springer,2012,February,10,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",4.220000000000001,-0.0015999999999998238,52.0,16.997899999999998,49,142,191,Medium,Medium,High,Rendah
9828,9829,2012-02-19,Springer,2012,February,11,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",4.220000000000001,-0.9982000000000006,56.00000000000001,22.0028,82,144,226,Medium,Medium,High,Rendah
9829,9830,2012-02-19,Springer,2012,February,12,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.160000000000002,1.9982000000000006,52.0,16.997899999999998,71,184,255,Medium,Medium,High,Rendah
9830,9831,2012-02-19,Springer,2012,February,13,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,3.998000000000001,49.0,11.0014,64,197,261,Medium,Low,High,Rendah
9831,9832,2012-02-19,Springer,2012,February,14,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,5.001199999999997,45.0,12.998000000000001,48,189,237,Medium,Low,High,Rendah
9832,9833,2012-02-19,Springer,2012,February,15,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.0014000000000003,49.0,12.998000000000001,85,168,253,Medium,Low,High,Rendah
9833,9834,2012-02-19,Springer,2012,February,16,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,3.998000000000001,45.0,19.0012,62,150,212,Medium,Medium,High,Rendah
9834,9835,2012-02-19,Springer,2012,February,17,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.0014000000000003,49.0,16.997899999999998,22,135,157,Medium,Medium,High,Rendah
9835,9836,2012-02-19,Springer,2012,February,18,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,1.9982000000000006,49.0,22.0028,23,144,167,Medium,Medium,High,Rendah
9836,9837,2012-02-19,Springer,2012,February,19,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.0014000000000003,52.0,16.997899999999998,18,101,119,Medium,Medium,High,Rendah
9837,9838,2012-02-19,Springer,2012,February,20,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.0014000000000003,52.0,19.0012,22,81,103,Medium,Medium,High,Rendah
9838,9839,2012-02-19,Springer,2012,February,21,No,Sunday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",4.220000000000001,1.0015999999999998,65.0,11.0014,3,33,36,Medium,Low,Very High,Rendah
9839,9840,2012-02-19,Springer,2012,February,22,No,Sunday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",3.2799999999999994,1.0015999999999998,75.0,6.0032,8,47,55,Medium,Low,Very High,Rendah
9840,9841,2012-02-19,Springer,2012,February,23,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2.34,-0.9982000000000006,93.0,11.0014,5,30,35,Medium,Low,Extremely High,Rendah
9841,9842,2012-02-20,Springer,2012,February,0,Yes,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3.2799999999999994,1.0015999999999998,87.0,6.0032,5,36,41,Medium,Low,Extremely High,Rendah
9842,9843,2012-02-20,Springer,2012,February,1,Yes,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3.2799999999999994,1.0015999999999998,87.0,6.0032,3,12,15,Medium,Low,Extremely High,Rendah
9843,9844,2012-02-20,Springer,2012,February,2,Yes,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3.2799999999999994,1.0015999999999998,87.0,6.0032,1,19,20,Medium,Low,Extremely High,Rendah
9844,9845,2012-02-20,Springer,2012,February,3,Yes,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3.2799999999999994,-0.9982000000000006,81.0,12.998000000000001,0,8,8,Medium,Low,Extremely High,Rendah
9845,9846,2012-02-20,Springer,2012,February,5,Yes,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3.2799999999999994,-2.0013999999999985,60.0,23.9994,0,6,6,Medium,Medium,High,Rendah
9846,9847,2012-02-20,Springer,2012,February,6,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-2.9979999999999993,52.0,27.999299999999998,1,9,10,Low,High,High,Rendah
9847,9848,2012-02-20,Springer,2012,February,7,Yes,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2.34,-2.9979999999999993,55.00000000000001,22.0028,2,42,44,Low,Medium,High,Rendah
9848,9849,2012-02-20,Springer,2012,February,8,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,-4.001200000000001,59.0,23.9994,9,111,120,Low,Medium,High,Sangat Rendah
9849,9850,2012-02-20,Springer,2012,February,9,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,-4.001200000000001,59.0,23.9994,12,98,110,Low,Medium,High,Sangat Rendah
9850,9851,2012-02-20,Springer,2012,February,10,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-2.9979999999999993,55.00000000000001,30.002599999999997,30,113,143,Low,High,High,Rendah
9851,9852,2012-02-20,Springer,2012,February,11,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,-0.9982000000000006,48.0,23.9994,45,163,208,Medium,Medium,High,Rendah
9852,9853,2012-02-20,Springer,2012,February,12,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",5.160000000000002,1.9982000000000006,45.0,15.001299999999999,65,216,281,Medium,Medium,High,Rendah
9853,9854,2012-02-20,Springer,2012,February,13,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,3.0014000000000003,42.0,19.0012,66,246,312,Medium,Medium,High,Rendah
9854,9855,2012-02-20,Springer,2012,February,14,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,5.001199999999997,36.0,12.998000000000001,57,206,263,Medium,Low,Medium,Rendah
9855,9856,2012-02-20,Springer,2012,February,15,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.001199999999997,34.0,15.001299999999999,54,235,289,Medium,Medium,Medium,Rendah
9856,9857,2012-02-20,Springer,2012,February,16,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,9.000800000000002,28.999999999999996,7.0015,64,216,280,Medium,Low,Medium,Rendah
9857,9858,2012-02-20,Springer,2012,February,17,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,27.0,16.997899999999998,27,226,253,Medium,Medium,Medium,Rendah
9858,9859,2012-02-20,Springer,2012,February,18,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.001199999999997,34.0,15.001299999999999,27,215,242,Medium,Medium,Medium,Rendah
9859,9860,2012-02-20,Springer,2012,February,19,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.001199999999997,34.0,15.001299999999999,8,164,172,Medium,Medium,Medium,Rendah
9860,9861,2012-02-20,Springer,2012,February,20,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.997799999999998,34.0,12.998000000000001,9,117,126,Medium,Low,Medium,Rendah
9861,9862,2012-02-20,Springer,2012,February,21,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,3.998000000000001,39.0,11.0014,8,90,98,Medium,Low,Medium,Rendah
9862,9863,2012-02-20,Springer,2012,February,22,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,5.001199999999997,45.0,6.0032,9,53,62,Medium,Low,High,Rendah
9863,9864,2012-02-20,Springer,2012,February,23,Yes,Monday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,5.997799999999998,39.0,0.0,0,26,26,Medium,Low,Medium,Rendah
9864,9865,2012-02-21,Springer,2012,February,0,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,3.998000000000001,65.0,0.0,1,11,12,Medium,Low,Very High,Rendah
9865,9866,2012-02-21,Springer,2012,February,1,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,3.998000000000001,56.00000000000001,0.0,0,7,7,Medium,Low,High,Rendah
9866,9867,2012-02-21,Springer,2012,February,2,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,3.0014000000000003,60.0,0.0,0,3,3,Medium,Low,High,Rendah
9867,9868,2012-02-21,Springer,2012,February,4,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,1.9982000000000006,64.0,0.0,0,2,2,Medium,Low,Very High,Rendah
9868,9869,2012-02-21,Springer,2012,February,5,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,1.0015999999999998,69.0,0.0,0,15,15,Medium,Low,Very High,Rendah
9869,9870,2012-02-21,Springer,2012,February,6,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,1.0015999999999998,75.0,0.0,3,83,86,Medium,Low,Very High,Rendah
9870,9871,2012-02-21,Springer,2012,February,7,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,1.9982000000000006,64.0,0.0,6,273,279,Medium,Low,Very High,Rendah
9871,9872,2012-02-21,Springer,2012,February,8,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,-0.9982000000000006,69.0,6.0032,5,459,464,Medium,Low,Very High,Rendah
